Regular Burpees,7,15
Front Squat,8,15
Front Lunges,8,15
Hip Bridge,10,20
Calf Raise,10,20
One Calf Raise,6,10
Split Squat,6,10
Squat Pulses,10,16
Lunge Pulses,10,16
One Leg Bridge,8,12
Lateral Lunge,8,14
Wall Sit,30,60
Crossover Lunge,8,12
