Crunches,8,15
Bicycle Crunch,10,16
Russian Twist,10,20
Heel Touch,10,20
Leg Raise,8,12
Toe Touch,8,12
Side Crunch,10,16
Flutter Kick,20,30
Criss-Cross,16,26
Reverse Crunch,8,12
Elbow-to-Knee,8,12
